esteban_ray,post,tem_4g,post_x_4g,tem_3g,anos_3g,codigo_tse
0.0475010392893255,0,0,0,1.0,8.83230663928816,10839
0.0484142591227137,0,0,0,1.0,8.747433264887064,10847
0.0395873045743787,0,1,0,1.0,12.83230663928816,10855
0.0427316806064238,0,1,0,1.0,8.501026694045175,10871
0.0576075659259183,0,0,0,1.0,8.747433264887064,10880
0.0534342910403556,0,1,0,1.0,1.831622176591376,10898
0.0341321603789093,0,0,0,1.0,8.83230663928816,10901
0.0361303951334552,0,0,0,1.0,8.999315537303216,10928
0.0314310130972718,0,0,0,0.0,0.0,10944
0.0445280977160822,0,1,0,1.0,1.6618754277891854,10952
0.0358073005155919,0,0,0,1.0,8.58590006844627,10960
0.0398556936179837,0,0,0,1.0,8.66255989048597,10979
0.0760429787226505,0,0,0,1.0,8.83230663928816,10987
0.053573356005182,0,1,0,1.0,8.501026694045175,11010
0.060039079782543,0,0,0,1.0,9.333333333333334,11053
0.0633698786412639,0,1,0,1.0,9.500342231348393,11070
0.0590642358862596,0,0,0,0.0,0.0,11088
0.0427522908193001,0,1,0,1.0,18.915811088295687,11096
0.0340172241539874,0,0,0,1.0,9.333333333333334,11118
0.0670809956166005,0,1,0,1.0,18.915811088295687,11134
0.0500319092350515,0,1,0,1.0,19.16769336071184,11150
0.0355622463534018,0,0,0,1.0,9.500342231348393,11177
0.0602437946383325,0,0,0,1.0,9.333333333333334,11193
0.0689757531894478,0,0,0,1.0,9.500342231348393,11215
0.0572505972222495,0,1,0,1.0,0.8323066392881588,11231
0.0478664338880779,0,0,0,1.0,9.333333333333334,11258
0.0520189704478747,0,0,0,1.0,8.83230663928816,11290
0.036629825595715,0,0,0,1.0,9.500342231348393,11339
0.0619252483304124,0,0,0,1.0,8.747433264887064,11355
0.035609604399376,0,1,0,1.0,8.501026694045175,11371
0.0541595270501962,0,1,0,1.0,19.16769336071184,11398
0.051652032772046,0,0,0,1.0,8.747433264887064,11410
