codigo_tse,ano,esteban_ray,herfindahl,concentracao_bipartidaria,enp
01392,2010,0.048126549458584356,0.3835716359311098,0.16244395787717653,2.6070749407018248
01457,2010,0.060000062065419975,0.4075106487581483,0.30309078812072826,2.4539236043215293
01473,2010,0.07298997409830134,0.4397523784914908,0.45688116122021266,2.2740070296614667
01490,2010,0.062259106506402984,0.4088223285065871,0.32927627273917026,2.4460503506571256
01511,2010,0.05659951140249934,0.48845961281055983,0.23235357219480798,2.04725216532453
01538,2010,0.05467755871846558,0.4551686348791326,0.22229578746999917,2.196987936713926
01554,2010,0.0681620717601007,0.43065371024734983,0.3754416961130742,2.322051282051282
01570,2010,0.07338603399789496,0.47092731011745664,0.3874743927421715,2.123469967691159
02003,2010,0.05820753347803063,0.6099257096386034,0.7500864752680734,1.6395439382158945
02011,2010,0.04031837892820909,0.6016876343724805,0.7600409836065574,1.661991942119489
