codigo_tse,sigla_partido,votos
10570,PATRI,74
10570,PDT,1094
10570,PODE,37
10570,PPL,2
10570,PSDB,326
10570,PSL,2817
10570,PSOL,35
10570,PT,9096
10570,REDE,41
01058,DC,4
01058,MDB,150
01058,NOVO,27
01058,PATRI,60
01058,PDT,403
01058,PODE,20
01058,PSDB,1000
01058,PSL,7608
01058,PSOL,21
01058,PSTU,4
01058,PT,3275
01058,REDE,159
10588,MDB,14
10588,NOVO,5
10588,PATRI,23
10588,PDT,274
10588,PODE,3
10588,PSDB,61
10588,PSL,162
10588,PSOL,4
10588,PT,2666
10588,REDE,9
10596,DC,3
10596,MDB,40
10596,NOVO,3
10596,PATRI,5
10596,PDT,209
10596,PODE,11
10596,PPL,1
10596,PSDB,111
10596,PSL,395
10596,PSOL,2
10596,PSTU,1
10596,PT,2811
10596,REDE,9
10600,DC,2
10600,MDB,21
10600,NOVO,9
10600,PATRI,11
10600,PDT,214
10600,PODE,3
10600,PSDB,61
10600,PSL,176
10600,PSOL,2
10600,PSTU,2
10600,PT,1806
10600,REDE,8
10618,MDB,52
10618,NOVO,14
10618,PATRI,15
10618,PDT,352
10618,PODE,18
10618,PPL,3
10618,PSDB,100
10618,PSL,776
10618,PSOL,6
10618,PSTU,3
10618,PT,3901
10618,REDE,26
10626,MDB,6
10626,NOVO,8
10626,PATRI,8
10626,PDT,309
10626,PODE,3
10626,PPL,1
10626,PSDB,12
10626,PSL,124
10626,PSOL,10
10626,PSTU,1
10626,PT,2248
10626,REDE,4
10634,MDB,60
10634,NOVO,20
10634,PATRI,20
10634,PDT,559
10634,PODE,6
10634,PPL,1
10634,PSDB,321
10634,PSL,714
10634,PSOL,18
10634,PSTU,3
10634,PT,4247
10634,REDE,19
10642,MDB,8
10642,NOVO,6
10642,PATRI,15
10642,PDT,85
10642,PODE,4
10642,PSDB,21
10642,PSL,192
10642,PSOL,6
10642,PT,2268
10642,REDE,4
10650,MDB,105
10650,NOVO,43
10650,PATRI,48
10650,PDT,526
10650,PODE,15
10650,PSDB,159
10650,PSL,1519
10650,PSOL,23
10650,PSTU,5
10650,PT,6200
10650,REDE,59
01066,DC,1
01066,MDB,349
01066,PATRI,34
01066,PDT,155
01066,PODE,16
01066,PPL,3
01066,PSDB,612
01066,PSL,1623
01066,PSOL,12
01066,PSTU,1
01066,PT,1576
01066,REDE,31
10669,DC,1
10669,MDB,44
10669,NOVO,13
10669,PATRI,14
10669,PDT,439
10669,PODE,6
10669,PSDB,107
10669,PSL,531
10669,PSOL,1
10669,PT,3308
10669,REDE,33
10677,DC,1
10677,MDB,16
10677,NOVO,48
10677,PATRI,15
10677,PDT,579
10677,PODE,10
10677,PSDB,80
10677,PSL,683
10677,PSOL,6
10677,PSTU,1
10677,PT,3349
10677,REDE,17
10685,MDB,45
10685,NOVO,23
10685,PATRI,13
10685,PDT,396
10685,PODE,2
10685,PPL,1
10685,PSDB,78
10685,PSL,283
10685,PSOL,11
10685,PSTU,1
10685,PT,4327
10685,REDE,9
10693,MDB,63
10693,NOVO,57
10693,PATRI,16
10693,PDT,708
10693,PODE,17
10693,PPL,1
10693,PSDB,142
10693,PSL,959
10693,PSOL,33
10693,PT,7056
10693,REDE,28
10707,MDB,23
10707,NOVO,7
10707,PATRI,11
10707,PDT,134
10707,PODE,1
10707,PSDB,41
10707,PSL,70
10707,PSOL,2
10707,PT,2477
10715,MDB,13
10715,NOVO,6
10715,PATRI,13
10715,PDT,448
10715,PODE,5
10715,PPL,1
10715,PSDB,49
10715,PSL,473
10715,PSOL,9
10715,PT,1500
10715,REDE,8
10723,DC,3
10723,MDB,41
10723,NOVO,11
10723,PATRI,44
10723,PDT,483
10723,PODE,4
10723,PSDB,66
10723,PSL,259
10723,PSOL,1
10723,PT,2748
10723,REDE,3
10731,DC,3
10731,MDB,213
10731,NOVO,68
10731,PATRI,155
10731,PDT,1603
10731,PODE,54
10731,PPL,3
10731,PSDB,898
10731,PSL,4441
10731,PSOL,26
10731,PSTU,1
10731,PT,13474
10731,REDE,135
01074,DC,7
01074,MDB,1455
01074,NOVO,120
01074,PATRI,262
01074,PDT,2433
01074,PODE,132
01074,PPL,11
01074,PSDB,4087
01074,PSL,27455
01074,PSOL,128
01074,PSTU,12
01074,PT,6454
01074,REDE,601
10740,MDB,31
